"","fragment.ID.full","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID","genotype","log.rate","K","fitted","residuals"
"42","M501b_2803","M501b",28,"T1",27.1743643,0.940817767,"GP","light","M501b","M5",0.663109413638129,300.3243643,0.659022652586406,0.00408676105172323
"43","M501b_2905","M501b",29,"T1",28.36482419,1.088353144,"GP","light","M501b","M5",0.73637578598768,301.51482419,0.699219036014149,0.0371567499735312
"44","M501b_3006","M501b",30,"T1",29.47159723,0.509135658,"GP","light","M501b","M5",0.411537075016055,302.62159723,0.731604247256917,-0.320067172240862
"45","M501b_3102","M501b",31,"T1",30.46139932,1.280291641,"GP","light","M501b","M5",0.824303347505513,303.61139932,0.746679337483916,0.0776240100215969
"46","M501b_3204","M501b",32,"T1",31.26030882,1.2073686,"GP","light","M501b","M5",0.791801127375523,304.41030882,0.731227795434478,0.0605733319410444
"47","M501b_3305","M501b",33,"T1",32.46640824,0.835149766,"GP","light","M501b","M5",0.607126094524874,305.61640824,0.574652585134638,0.0324735093902364
"48","M501b_3401","M501b",34,"T1",33.00032411,0.506071694,"GP","light","M501b","M5",0.409504733822282,306.15032411,0.40416569442434,0.00533903939794111
"49","M501c_2702","M501c",27,"T1",26.51393848,0.944681912,"GP","light","M501c","M5",0.665098422307884,299.66393848,0.635921906076846,0.0291765162310381
"50","M501c_2804","M501c",28,"T1",27.15607018,1.081058398,"GP","light","M501c","M5",0.73287660948772,300.30607018,0.658387667168292,0.0744889423194275
"51","M501c_2905","M501c",29,"T1",28.33416498,1.224717212,"GP","light","M501c","M5",0.79962981181052,301.48416498,0.698225536972439,0.101404274838081
"52","M501c_3001","M501c",30,"T1",29.11951798,1.162693034,"GP","light","M501c","M5",0.771354220117536,302.26951798,0.722278737110941,0.0490754830065943
"53","M501c_3103","M501c",31,"T1",30.50979066,1.190959879,"GP","light","M501c","M5",0.784339748715864,303.65979066,0.746714757878034,0.0376249908378303
"54","M501c_3204","M501c",32,"T1",31.28356967,1.100898767,"GP","light","M501c","M5",0.74236523745594,304.43356967,0.7301037990565,0.0122614383994403
"55","M501c_3306","M501c",33,"T1",32.39778831,0.584858023,"GP","light","M501c","M5",0.460494827922807,305.54778831,0.590896925821916,-0.130402097899109
"56","M501c_3401","M501c",34,"T1",33.0247433,0.567929755,"GP","light","M501c","M5",0.449756121817563,306.1747433,0.394309317075627,0.0554468047419359
"57","M501d_2703","M501d",27,"T1",26.45092746,0.901254631,"GP","light","M501d","M5",0.642514000354343,299.60092746,0.633702149447487,0.00881185090685555
"58","M501d_2804","M501d",28,"T1",27.07960971,1.063587203,"GP","light","M501d","M5",0.724445829070428,300.22960971,0.655730192135001,0.0687156369354268
"59","M501d_2906","M501d",29,"T1",28.09930041,0.868042936,"GP","light","M501d","M5",0.624891324553206,301.24930041,0.690516685821542,-0.0656253612683361
"60","M501d_3001","M501d",30,"T1",29.13728609,1.209299738,"GP","light","M501d","M5",0.79267560468524,302.28728609,0.722777858342636,0.0698977463426044
"61","M501d_3103","M501d",31,"T1",30.53668272,1.372544549,"GP","light","M501d","M5",0.863963028564855,303.68668272,0.746693680161606,0.117269348403249
"62","M501d_3205","M501d",32,"T1",31.1771532,0.935151865,"GP","light","M501d","M5",0.660185806606234,304.3271532,0.734853033482983,-0.0746672268767492
"63","M501d_3306","M501d",33,"T1",32.61087964,0.549913168,"GP","light","M501d","M5",0.438198908716779,305.76087964,0.536519912611994,-0.0983210038952149
"64","M501d_3402","M501d",34,"T1",32.94509829,0.554198775,"GP","light","M501d","M5",0.440960155605846,306.09509829,0.425751215681262,0.0152089399245836
"65","M601a_2705","M601a",27,"T1",26.40911114,0.823690294,"GP","light","M601a","M6",0.600862082279204,299.55911114,0.666175140277875,-0.0653130579986709
"66","M601a_2806","M601a",28,"T1",27.29089219,0.820010454,"GP","light","M601a","M6",0.598842245028252,300.44089219,0.689370705710446,-0.0905284606821948
"67","M601a_2902","M601a",29,"T1",28.56582023,1.088375621,"GP","light","M601a","M6",0.736386548956149,301.71582023,0.722427788183508,0.0139587607726412
"68","M601a_3003","M601a",30,"T1",29.32468353,0.986093214,"GP","light","M601a","M6",0.686169500070384,302.47468353,0.741299100722553,-0.0551296006521685
"69","M601a_3105","M601a",31,"T1",30.09948507,1.135925372,"GP","light","M601a","M6",0.758899982285348,303.24948507,0.75817074647957,0.000729235805777884
"70","M601a_3201","M601a",32,"T1",31.39057931,1.410527376,"GP","light","M601a","M6",0.87984555177893,304.54057931,0.758102942860526,0.121742608918404
"71","M601a_3302","M601a",33,"T1",32.39024922,1.011941106,"GP","light","M601a","M6",0.699099980437308,305.54024922,0.635103589335689,0.063996391101619
"72","M601a_3404","M601a",34,"T1",33.23344727,0.468161752,"GP","light","M601a","M6",0.384011109408475,306.38344727,0.236152968298362,0.147858141110113
"73","M601b_2701","M601b",27,"T1",26.44632332,1.121824333,"GP","light","M601b","M6",0.752276253070405,299.59632332,0.667157434475404,0.0851188185950001
"74","M601b_2802","M601b",28,"T1",27.23649537,1.306673951,"GP","light","M601b","M6",0.835806638904459,300.38649537,0.687945179386076,0.147861459518383
"75","M601b_2904","M601b",29,"T1",28.66475495,1.447960634,"GP","light","M601b","M6",0.895255283638428,301.81475495,0.724944753706007,0.170310529932421
"76","M601b_3005","M601b",30,"T1",29.30248639,0.696197175,"GP","light","M601b","M6",0.528388789456515,302.45248639,0.740766826448047,-0.212378036991532
"77","M601b_3101","M601b",31,"T1",30.27211728,1.569125095,"GP","light","M601b","M6",0.943565410986605,303.42211728,0.761158072110119,0.182407338876486
"78","M601b_3203","M601b",32,"T1",31.3384851,1.395455708,"GP","light","M601b","M6",0.873573487501976,304.4884851,0.759866295967965,0.113707191534012
"79","M601b_3304","M601b",33,"T1",32.33406579,0.938069658,"GP","light","M601b","M6",0.661692456063086,305.48406579,0.649009870144836,0.0126825859182496
"80","M601b_3406","M601b",34,"T1",32.94159232,0.33687789,"GP","light","M601b","M6",0.290336962610027,306.09159232,0.42102969661671,-0.130692734006683
"81","M601c_2704","M601c",27,"T1",26.37012921,0.921200998,"GP","light","M601c","M6",0.652950510275397,299.52012921,0.665145833857678,-0.012195323582281
"82","M601c_2806","M601c",28,"T1",27.32618607,0.898135958,"GP","light","M601c","M6",0.640872329866737,300.47618607,0.690295178815925,-0.0494228489491872
"83","M601c_2901","M601c",29,"T1",28.23460825,1.454018196,"GP","light","M601c","M6",0.897726761094156,301.38460825,0.713930940320829,0.183795820773326
"84","M601c_3003","M601c",30,"T1",29.35773685,1.077598925,"GP","light","M601c","M6",0.731212863942317,302.50773685,0.742088476779219,-0.0108756128369016
"85","M601c_3105","M601c",31,"T1",29.9536235,1.243643437,"GP","light","M601c","M6",0.808101078867559,303.1036235,0.755351831284678,0.0527492475828806
"86","M601c_3206","M601c",32,"T1",31.15365516,0.692235481,"GP","light","M601c","M6",0.526050424668193,304.30365516,0.764228747687364,-0.238178323019171
"87","M601c_3302","M601c",33,"T1",32.61186898,0.827998215,"GP","light","M601c","M6",0.603221496554457,305.76186898,0.567442949418301,0.0357785471361566
"88","M601c_3403","M601c",34,"T1",33.12428359,0.309805363,"GP","light","M601c","M6",0.269878548311681,306.27428359,0.311874584530009,-0.0419960362183283
"89","M601d_2705","M601d",27,"T1",26.40437636,0.843490884,"GP","light","M601d","M6",0.611660993738149,299.55437636,0.666050135914635,-0.0543891421764866
"90","M601d_2801","M601d",28,"T1",27.18762583,0.928615367,"GP","light","M601d","M6",0.656802319018433,300.33762583,0.686663818796414,-0.0298614997779806
"91","M601d_2902","M601d",29,"T1",28.41615608,1.161288651,"GP","light","M601d","M6",0.77070464148761,301.56615608,0.718600285264248,0.052104356223362
"92","M601d_3004","M601d",30,"T1",29.37701222,0.69979832,"GP","light","M601d","M6",0.53050960873033,302.52701222,0.74254695660467,-0.212037347874341
"93","M601d_3106","M601d",31,"T1",29.98782707,0.897283464,"GP","light","M601d","M6",0.64042310730683,303.13782707,0.756033494534592,-0.115610387227762
"94","M601d_3201","M601d",32,"T1",31.33169213,1.184604618,"GP","light","M601d","M6",0.781434859313197,304.48169213,0.760077310390337,0.0213575489228608
"95","M601d_3303","M601d",33,"T1",32.49237472,0.782337733,"GP","light","M601d","M6",0.57792583578244,305.64237472,0.60660281304052,-0.0286769772580803
"96","M601d_3404","M601d",34,"T1",33.14150519,0.273269193,"GP","light","M601d","M6",0.241587760692134,306.29150519,0.300460958922221,-0.0588731982300873
