fragment.ID.full,individual.ID,temp.Cat,treatment,Temp.C,umol.cm2.hr,rate.type,light_dark,fragment.ID,genotype
K203b_3304,K203b,33,T3,32.36561462,0.317478661,NP,light,K203b,K2
K203b_3406,K203b,34,T3,33.04200767,-0.1203268,NP,light,K203b,K2
K203c_2703,K203c,27,T3,26.27916124,0.503687259,NP,light,K203c,K2
K203c_2805,K203c,28,T3,27.28471706,0.492211558,NP,light,K203c,K2
K203c_2906,K203c,29,T3,28.23745869,0.405916652,NP,light,K203c,K2
K203c_3002,K203c,30,T3,29.46108923,0.615865111,NP,light,K203c,K2
K203c_3104,K203c,31,T3,30.06503908,0.702103997,NP,light,K203c,K2
K203c_3205,K203c,32,T3,31.21356399,0.38658217,NP,light,K203c,K2
K203c_3301,K203c,33,T3,32.49912536,0.554299055,NP,light,K203c,K2
K203c_3402,K203c,34,T3,33.11515152,0.034506643,NP,light,K203c,K2
K203d_2704,K203d,27,T3,26.49429016,0.469605179,NP,light,K203d,K2
K203d_2805,K203d,28,T3,27.28950498,0.441524342,NP,light,K203d,K2
K203d_2901,K203d,29,T3,28.39194861,0.775558643,NP,light,K203d,K2
K203d_3002,K203d,30,T3,29.41619267,0.507489731,NP,light,K203d,K2
K203d_3104,K203d,31,T3,30.18822623,0.613312348,NP,light,K203d,K2
K203d_3206,K203d,32,T3,31.29577238,0.140629936,NP,light,K203d,K2
K203d_3301,K203d,33,T3,32.37924261,0.50928401,NP,light,K203d,K2
K203d_3403,K203d,34,T3,33.1130971,-0.010263858,NP,light,K203d,K2
K20Ca_2704,K20Ca,27,C,26.36481988,0.526807765,NP,light,K20Ca,K2
K20Ca_2806,K20Ca,28,C,27.30945628,0.472132129,NP,light,K20Ca,K2
K20Ca_2901,K20Ca,29,C,28.40125521,0.788635596,NP,light,K20Ca,K2
K20Ca_3003,K20Ca,30,C,29.24296276,0.555997366,NP,light,K20Ca,K2
K20Ca_3105,K20Ca,31,C,30.00014011,0.746269352,NP,light,K20Ca,K2
K20Ca_3206,K20Ca,32,C,31.27275612,0.317097806,NP,light,K20Ca,K2
K20Ca_3302,K20Ca,33,C,32.58491569,0.546151244,NP,light,K20Ca,K2
K20Ca_3403,K20Ca,34,C,33.14568157,0.060195804,NP,light,K20Ca,K2
K20Cb_2703,K20Cb,27,C,26.21174644,0.478908108,NP,light,K20Cb,K2
K20Cb_2804,K20Cb,28,C,27.13471087,0.428283689,NP,light,K20Cb,K2
K20Cb_2906,K20Cb,29,C,28.27598873,0.321501228,NP,light,K20Cb,K2
K20Cb_3001,K20Cb,30,C,29.17342892,0.582223864,NP,light,K20Cb,K2
K20Cb_3103,K20Cb,31,C,30.17381116,0.556547559,NP,light,K20Cb,K2
K20Cb_3205,K20Cb,32,C,31.28072116,0.29968178,NP,light,K20Cb,K2
K20Cb_3306,K20Cb,33,C,32.5322023,0.015784834,NP,light,K20Cb,K2
K20Cb_3402,K20Cb,34,C,32.95014258,-0.127341334,NP,light,K20Cb,K2
K20Cc_2702,K20Cc,27,C,26.48239245,0.541423676,NP,light,K20Cc,K2
K20Cc_2803,K20Cc,28,C,27.18490347,0.578997298,NP,light,K20Cc,K2
K20Cc_2905,K20Cc,29,C,28.40299263,0.681327567,NP,light,K20Cc,K2
K20Cc_3006,K20Cc,30,C,29.49292508,0.145066108,NP,light,K20Cc,K2
K20Cc_3102,K20Cc,31,C,30.458859,0.823190951,NP,light,K20Cc,K2
K20Cc_3205,K20Cc,32,C,31.30785126,0.697414397,NP,light,K20Cc,K2
K20Cc_3305,K20Cc,33,C,32.46430401,0.425382232,NP,light,K20Cc,K2
K20Cc_3401,K20Cc,34,C,33.07677828,0.085651517,NP,light,K20Cc,K2
K20Cd_2703,K20Cd,27,C,26.33540661,0.494823704,NP,light,K20Cd,K2
K20Cd_2805,K20Cd,28,C,27.29533164,0.512075992,NP,light,K20Cd,K2
K20Cd_2906,K20Cd,29,C,28.15526867,0.408620437,NP,light,K20Cd,K2
K20Cd_3002,K20Cd,30,C,29.36772391,0.708502079,NP,light,K20Cd,K2
K20Cd_3104,K20Cd,31,C,30.12240875,0.682690794,NP,light,K20Cd,K2
K20Cd_3205,K20Cd,32,C,31.32679298,0.420608312,NP,light,K20Cd,K2
K20Cd_3301,K20Cd,33,C,32.49211228,0.430123297,NP,light,K20Cd,K2
K20Cd_3402,K20Cd,34,C,33.09428512,-0.010123162,NP,light,K20Cd,K2
M501a_2706,M501a,27,T1,26.3420711,0.311625063,NP,light,M501a,M5
M501a_2802,M501a,28,T1,27.14612023,0.45297449,NP,light,M501a,M5
M501a_2903,M501a,29,T1,28.36928644,0.637241792,NP,light,M501a,M5
M501a_3005,M501a,30,T1,29.26746216,0.072467725,NP,light,M501a,M5
M501a_3101,M501a,31,T1,30.47447403,0.74702389,NP,light,M501a,M5
M501a_3202,M501a,32,T1,31.3796444,0.644562632,NP,light,M501a,M5
