individual.ID,temp.Cat,treatment,Temp.C,genotype,Pnet_umol.cm2.hr,Rdark_umol.cm2.hr,GP_umol.cm2.hr
K203b,28,T3,26.92302322,K2,0.670793149,-0.53463555,1.205428699
K203b,29,T3,28.62893614,K2,0.64494678,-0.496755169,1.141701949
K203b,30,T3,29.24767763,K2,0.196096297,-0.485659378,0.681755675
K203b,31,T3,30.5093146,K2,0.889417074,-0.617722653,1.507139727
K203b,32,T3,31.31001639,K2,0.801142963,-0.628694881,1.429837844
K203b,33,T3,32.36561462,K2,0.317478661,-0.516299099,0.83377776
K203b,34,T3,33.04200767,K2,-0.1203268,-0.416698997,0.296372197
K203c,27,T3,26.27916124,K2,0.503687259,-0.367369444,0.871056703
K203c,28,T3,27.28471706,K2,0.492211558,-0.404040165,0.896251723
K203c,29,T3,28.23745869,K2,0.405916652,-0.383485555,0.789402207
K203c,30,T3,29.46108923,K2,0.615865111,-0.443127223,1.058992334
K203c,31,T3,30.06503908,K2,0.702103997,-0.512757403,1.2148614
K203c,32,T3,31.21356399,K2,0.38658217,-0.462723107,0.849305277
K203c,33,T3,32.49912536,K2,0.554299055,-0.436319711,0.990618766
K203c,34,T3,33.11515152,K2,0.034506643,-0.354136983,0.388643626
K203d,27,T3,26.49429016,K2,0.469605179,-0.325051074,0.794656253
K203d,28,T3,27.28950498,K2,0.441524342,-0.400487029,0.842011371
K203d,29,T3,28.39194861,K2,0.775558643,-0.410143056,1.185701699
K203d,30,T3,29.41619267,K2,0.507489731,-0.445452109,0.95294184
K203d,31,T3,30.18822623,K2,0.613312348,-0.501905922,1.11521827
K203d,32,T3,31.29577238,K2,0.140629936,-0.42276882,0.563398756
K203d,33,T3,32.37924261,K2,0.50928401,-0.510342596,1.019626606
K203d,34,T3,33.1130971,K2,-0.010263858,-0.342811607,0.332547749
K20Ca,27,C,26.36481988,K2,0.526807765,-0.461620614,0.988428379
K20Ca,28,C,27.30945628,K2,0.472132129,-0.409534086,0.881666215
K20Ca,29,C,28.40125521,K2,0.788635596,-0.560205271,1.348840867
K20Ca,30,C,29.24296276,K2,0.555997366,-0.543081201,1.099078567
K20Ca,31,C,30.00014011,K2,0.746269352,-0.613893551,1.360162903
K20Ca,32,C,31.27275612,K2,0.317097806,-0.525578608,0.842676414
K20Ca,33,C,32.58491569,K2,0.546151244,-0.543998097,1.090149341
K20Ca,34,C,33.14568157,K2,0.060195804,-0.437295512,0.497491316
K20Cb,27,C,26.21174644,K2,0.478908108,-0.37723661,0.856144718
K20Cb,28,C,27.13471087,K2,0.428283689,-0.338682718,0.766966407
K20Cb,29,C,28.27598873,K2,0.321501228,-0.3597349,0.681236128
