"","rate.type","treatment","E","Eh","lnc","Th","topt","topt_C"
"1","GP","C",0.0947610100135173,10.2183320832439,1.36481742202128,307.310154344913,304.405642206249,31.2556422062491
"2","GP","T1",0.115966972659309,10.2185134022117,1.3760508824731,307.40293043387,304.654743002973,31.5047430029726
"3","GP","T2",0.0734835010736486,11.1613224027502,1.35986173200692,307.298455817172,304.392082219623,31.2420822196229
"4","GP","T3",0.0807626941714896,11.8732852088478,1.35698645385439,307.206280475631,304.496219537524,31.3462195375241
"5","R","C",0.0102424846229127,5.44837069305103e-08,1.62419697352289,434.645965783835,-4.80869045829101e-05,-273.150048086905
"6","R","T1",0,0.014334783028908,1.43915372122727,1134.97069494879,0,-273.15
"7","R","T2",0.005328332720309,6.37229307263393e-08,1.62779428658891,973.781218686949,-5.99355370753003e-05,-273.150059935537
"8","R","T3",0.015699248516626,2.60557082608994e-06,1.62686547532782,322.283879395616,-0.00311502632851876,-273.153115026329
