fragment.ID.full,Temp.C.x,fragment.ID,genotype,run.x,temp.Cat,light_dark.x,treatment,umol.sec.corr.x,umol.cm2.hr.x,umol.cm2.hr.c.x,ln.rate.x,rate.type.x,frag.ID,fragment.ID.full.y,Temp.C.y,run.y,light_dark.y,umol.sec.corr.y,umol.cm2.hr.y,umol.cm2.hr.c.y,ln.rate.y,rate.type.y,Pnet_umol.cm2.hr,Rdark_umol.cm2.hr
K201c_3102,30.55022914,K201c,K2,3102,31,light,T1,0.011233697,0.812877518,0.812877518,-0.091153561,NP,K201c_3102,K201c_3102D,30.57396066,3102D,dark,-0.007763555,-0.561775774,0.561775774,-0.412828491,R,0.812877518,0.561775774
K201c_3203,31.4359618,K201c,K2,3203,32,light,T1,0.0104506,0.756212139,0.756212139,-0.155237107,NP,K201c_3203,K201c_3203D,31.43469021,3203D,dark,-0.007389164,-0.534684648,0.534684648,-0.454627021,R,0.756212139,0.534684648
K201c_3305,32.36407526,K201c,K2,3305,33,light,T1,0.005011013,0.362600103,0.362600103,-0.770892306,NP,K201c_3305,K201c_3305D,32.39481462,3305D,dark,-0.006611939,-0.478444158,0.478444158,-0.547413267,R,0.362600103,0.478444158
K201c_3406,33.21438022,K201c,K2,3406,34,light,T1,-0.000777455,-0.056257118,0.056257118,-1.856252438,NP,K201c_3406,K201c_3406D,33.19942911,3406D,dark,-0.005669462,-0.410245911,0.410245911,-0.672862492,R,0.056257118,0.410245911
K201d_2704,26.45878894,K201d,K2,2704,27,light,T1,0.003898459,0.447177564,0.447177564,-0.602981914,NP,K201d_2704,K201d_2704D,26.39312439,2704D,dark,-0.003436106,-0.394142849,0.394142849,-0.704930635,R,0.447177564,0.394142849
K201d_2805,27.25797298,K201d,K2,2805,28,light,T1,0.004483719,0.514310567,0.514310567,-0.487254669,NP,K201d_2805,K201d_2805D,27.23136704,2805D,dark,-0.004207972,-0.482680592,0.482680592,-0.540116112,R,0.514310567,0.482680592
K201d_2901,28.37720234,K201d,K2,2901,29,light,T1,0.007092806,0.813589139,0.813589139,-0.090374328,NP,K201d_2901,K201d_2901D,28.24751748,2901D,dark,-0.004435725,-0.508805347,0.508805347,-0.49625669,R,0.813589139,0.508805347
K201d_3002,29.57047449,K201d,K2,3002,30,light,T1,0.005985308,0.686552121,0.686552121,-0.240096289,NP,K201d_3002,K201d_3002D,29.51082922,3002D,dark,-0.003037419,-0.34841087,0.34841087,-0.802045346,R,0.686552121,0.34841087
K201d_3104,29.96914889,K201d,K2,3104,31,light,T1,0.006619024,0.759243396,0.759243396,-0.151703049,NP,K201d_3104,K201d_3104D,30.00166576,3104D,dark,-0.004935065,-0.566082748,0.566082748,-0.40634137,R,0.759243396,0.566082748
K201d_3206,31.3169683,K201d,K2,3206,32,light,T1,0.002947891,0.338141485,0.338141485,-0.825213395,NP,K201d_3206,K201d_3206D,31.35663829,3206D,dark,-0.004346711,-0.498594861,0.498594861,-0.513170269,R,0.338141485,0.498594861
K201d_3301,32.53086145,K201d,K2,3301,33,light,T1,0.00641082,0.735361045,0.735361045,-0.179891258,NP,K201d_3301,K201d_3301D,32.5793994,3301D,dark,-0.004876742,-0.559392766,0.559392766,-0.41643592,R,0.735361045,0.559392766
K201d_3403,33.27699033,K201d,K2,3403,34,light,T1,0.002345502,0.269043734,0.269043734,-0.996840121,NP,K201d_3403,K201d_3403D,33.27883445,3403D,dark,-0.003537737,-0.405800471,0.405800471,-0.681613013,R,0.269043734,0.405800471
K202a_2706,26.46119376,K202a,K2,2706,27,light,T2,0.004942082,0.478448692,0.478448692,-0.547405428,NP,K202a_2706,K202a_2706D,26.40927103,2706D,dark,-0.004577797,-0.443181796,0.443181796,-0.610311215,R,0.478448692,0.443181796
K202a_2801,27.14709405,K202a,K2,2801,28,light,T2,0.0062835,0.608312936,0.608312936,-0.344869284,NP,K202a_2801,K202a_2801D,27.10283506,2801D,dark,-0.005196514,-0.503080576,0.503080576,-0.505704466,R,0.608312936,0.503080576
K202a_2903,28.34466775,K202a,K2,2903,29,light,T2,0.007870873,0.761988362,0.761988362,-0.14851351,NP,K202a_2903,K202a_2903D,28.26212373,2903D,dark,-0.004885651,-0.472985481,0.472985481,-0.556894902,R,0.761988362,0.472985481
K202a_3004,29.42415932,K202a,K2,3004,30,light,T2,0.003376768,0.326908851,0.326908851,-0.851184752,NP,K202a_3004,K202a_3004D,29.33921897,3004D,dark,-0.005107368,-0.494450185,0.494450185,-0.52011836,R,0.326908851,0.494450185
K202a_3106,29.99159624,K202a,K2,3106,31,light,T2,0.00529698,0.512806754,0.512806754,-0.489705638,NP,K202a_3106,K202a_3106D,30.05710234,3106D,dark,-0.006177641,-0.598064601,0.598064601,-0.359443629,R,0.512806754,0.598064601
K202a_3202,31.43756074,K202a,K2,3202,32,light,T2,0.009202027,0.890858887,0.890858887,-0.009183149,NP,K202a_3202,K202a_3202D,31.44218875,3202D,dark,-0.005670195,-0.548938119,0.548938119,-0.432417915,R,0.890858887,0.548938119
K202a_3303,32.32356975,K202a,K2,3303,33,light,T2,0.006410777,0.620634752,0.620634752,-0.327622856,NP,K202a_3303,K202a_3303D,32.33332576,3303D,dark,-0.006302736,-0.610175146,0.610175146,-0.342243654,R,0.620634752,0.610175146
K202a_3405,32.98427253,K202a,K2,3405,34,light,T2,0.001100273,0.106518661,0.106518661,-1.577364501,NP,K202a_3405,K202a_3405D,33.05184042,3405D,dark,-0.004480458,-0.433758283,0.433758283,-0.627812196,R,0.106518661,0.433758283
K202b_2704,26.45492399,K202b,K2,2704,27,light,T2,0.005071934,0.483261684,0.483261684,-0.539119336,NP,K202b_2704,K202b_2704D,26.39424118,2704D,dark,-0.003820755,-0.364047422,0.364047422,-0.767768529,R,0.483261684,0.364047422
K202b_2806,27.2788037,K202b,K2,2806,28,light,T2,0.004626574,0.440827126,0.440827126,-0.614655597,NP,K202b_2806,K202b_2806D,27.19345356,2806D,dark,-0.004034339,-0.384398009,0.384398009,-0.724848377,R,0.440827126,0.384398009
K202b_2901,28.40073564,K202b,K2,2901,29,light,T2,0.00725647,0.691407684,0.691407684,-0.233942041,NP,K202b_2901,K202b_2901D,28.27346534,2901D,dark,-0.004251552,-0.40509443,0.40509443,-0.683009876,R,0.691407684,0.40509443
K202b_3003,29.32848164,K202b,K2,3003,30,light,T2,0.004694024,0.447253867,0.447253867,-0.602842477,NP,K202b_3003,K202b_3003D,29.33941171,3003D,dark,-0.004926409,-0.469395814,0.469395814,-0.563179456,R,0.447253867,0.469395814
K202b_3105,30.02431189,K202b,K2,3105,31,light,T2,0.006112214,0.582381139,0.582381139,-0.382166922,NP,K202b_3105,K202b_3105D,30.10870503,3105D,dark,-0.004236121,-0.403624115,0.403624115,-0.685925092,R,0.582381139,0.403624115
K202b_3206,31.28507227,K202b,K2,3206,32,light,T2,0.00117522,0.111976779,0.111976779,-1.551278544,NP,K202b_3206,K202b_3206D,31.31001678,3206D,dark,-0.004569761,-0.435413866,0.435413866,-0.62471525,R,0.111976779,0.435413866
K202b_3302,32.58998733,K202b,K2,3302,33,light,T2,0.003508393,0.334285063,0.334285063,-0.834054133,NP,K202b_3302,K202b_3302D,32.48319025,3302D,dark,-0.00491115,-0.467941947,0.467941947,-0.565736072,R,0.334285063,0.467941947
K202b_3403,33.17739486,K202b,K2,3403,34,light,T2,-0.000250733,-0.023890271,0.023890271,-2.088359019,NP,K202b_3403,K202b_3403D,33.17517524,3403D,dark,-0.003149471,-0.300086504,0.300086504,-0.916074496,R,0.023890271,0.300086504
K202c_2703,26.4303142,K202c,K2,2703,27,light,T2,0.002605054,0.490611458,0.490611458,-0.526596909,NP,K202c_2703,K202c_2703D,26.38669034,2703D,dark,-0.002246504,-0.423085583,0.423085583,-0.648010189,R,0.490611458,0.423085583
K202c_2804,27.10976568,K202c,K2,2804,28,light,T2,0.002866895,0.539924161,0.539924161,-0.446405608,NP,K202c_2804,K202c_2804D,27.07817848,2804D,dark,-0.002142474,-0.403493512,0.403493512,-0.686184452,R,0.539924161,0.403493512
K202c_2906,28.22361693,K202c,K2,2906,29,light,T2,0.002364668,0.445339415,0.445339415,-0.606346899,NP,K202c_2906,K202c_2906D,28.23231821,2906D,dark,-0.002313055,-0.435619121,0.435619121,-0.624331966,R,0.445339415,0.435619121
K202c_3001,29.06065201,K202c,K2,3001,30,light,T2,0.003045038,0.573473959,0.573473959,-0.39530595,NP,K202c_3001,K202c_3001D,29.08701542,3001D,dark,-0.002338015,-0.440319824,0.440319824,-0.615594048,R,0.573473959,0.440319824
K202c_3103,30.63144834,K202c,K2,3103,31,light,T2,0.003897834,0.73408158,0.73408158,-0.181424064,NP,K202c_3103,K202c_3103D,30.4221792,3103D,dark,-0.003127118,-0.588932169,0.588932169,-0.372612462,R,0.73408158,0.588932169
K202c_3205,31.29324462,K202c,K2,3205,32,light,T2,0.00313571,0.590550272,0.590550272,-0.370266504,NP,K202c_3205,K202c_3205D,31.35065933,3205D,dark,-0.002008544,-0.378270484,0.378270484,-0.737578841,R,0.590550272,0.378270484
K202c_3306,32.61182381,K202c,K2,3306,33,light,T2,0.001720399,0.324003956,0.324003956,-0.858012494,NP,K202c_3306,K202c_3306D,32.49753567,3306D,dark,-0.002345179,-0.441669152,0.441669152,-0.613099884,R,0.324003956,0.441669152
K202c_3402,33.19777745,K202c,K2,3402,34,light,T2,0.000794442,0.149617785,0.149617785,-1.387824391,NP,K202c_3402,K202c_3402D,33.20950806,3402D,dark,-0.002072603,-0.390334727,0.390334727,-0.712667005,R,0.149617785,0.390334727
