"","individual.ID","genotype","rate.type","treatment","E","Eh","lnc","Th","topt","topt_C"
"1","K201a","K2","GP","T1",0.0868631608627155,38.6153100273412,1.38598284793274,306.388291287044,305.323899998459,32.1738999984587
"2","K201a","K2","R","T1",0.00355432447452193,0.0488720196876554,5.20435543009835,92.2575743102528,73.0012622558609,-200.148737744139
"3","K201b","K2","GP","T1",0.104134336859631,174.049873043451,1.36188390027097,306.449734767211,306.15136159942,33.0013615994204
"4","K201b","K2","R","T1",27.1093097307162,27.1407916199357,9.17410644285865,297.812224788129,298.093852866999,24.9438528669988
"5","K201c","K2","GP","T1",0.0837404924461783,12.7725066313447,1.38394806760694,307.182162232488,304.638677590299,31.4886775902987
"6","K201c","K2","R","T1",0,0.0541175606515821,1.64777678220051,295.925556394528,0,-273.15
"7","K201d","K2","GP","T1",4.81576959682169,5.06826667818117,3.27489626389784,297.53053374223,298.966090433298,25.8160904332985
"8","K201d","K2","R","T1",5.57376103671451e-05,0.0263881851470517,2.61198687860475,122.961308949253,40.0185386110031,-233.131461388997
"9","K202a","K2","GP","T2",0.112211645984067,32.5644377161846,1.38531541777428,306.500621496099,305.343562530566,32.1935625305662
"10","K202a","K2","R","T2",0,0.0584487359566564,1.696185162783,280.721540381442,0,-273.15
"11","K202b","K2","GP","T2",1.61368465316114,2.31720766407908,2.25720538873181,298.898602752137,301.034647864748,27.8846478647483
"12","K202b","K2","R","T2",4.08533300711747e-06,0.00508753881643036,1.64654556118983,304.365485231908,9.33707114921106,-263.812928850789
"13","K202c","K2","GP","T2",0.160992941477327,6.98305253733323,1.36500860857438,307.913940629822,304.705948186926,31.5559481869265
"14","K202c","K2","R","T2",0,0.000530284705365986,1.63374546783376,303.123714913281,0,-273.15
"15","K202d","K2","GP","T2",0.14949179605518,14.5583143297901,1.38228648558907,306.871359521208,304.888844668668,31.7388446686684
"16","K202d","K2","R","T2",0,0.0781131646834869,1.90461388857226,257.850877704893,0,-273.15
"17","K203a","K2","GP","T3",0.137184657066745,9.51801280484357,1.35512286171387,307.319494024021,304.57326929234,31.4232692923399
"18","K203a","K2","R","T3",0,0.0727877497352058,1.75495956597201,277.211845718855,0,-273.15
"19","K203b","K2","GP","T3",0.111742125300577,13.7414330430476,1.39979555235519,306.813604938107,304.57900338221,31.4290033822105
"20","K203b","K2","R","T3",0,0.0393628922491062,1.16545818037903,1631.83021173167,0,-273.15
"21","K203c","K2","GP","T3",0.063798752045475,30.7070944468807,1.35810224916838,306.682450124501,305.321780283388,32.1717802833884
"22","K203c","K2","R","T3",5.05691726067351e-06,0.0263104820721321,1.67717672680771,282.743377722189,35.3414760471471,-237.808523952853
"23","K203d","K2","GP","T3",1.51369942737566,2.40170687795307,2.00858549105368,300.411308474178,302.165328742662,29.0153287426625
"24","K203d","K2","R","T3",0,0.0554551466609859,1.70483494707755,286.188959188571,0,-273.15
"25","K20Ca","K2","R","C",0,0.18455862956894,1.00771906844642,448.235362346452,0,-273.15
"26","K20Cb","K2","GP","C",0.0637873142447425,6.86054580708621,1.33639157507151,307.787150118796,303.470705650344,30.3207056503445
"27","K20Cb","K2","R","C",15.2055881617078,15.228878979306,6.36799645891966,297.428632714476,297.929439614301,24.7794396143007
"28","K20Cc","K2","GP","C",0.0697406580454103,13.1030694254195,1.38682660586414,307.274588317534,304.665900907586,31.5159009075857
"29","K20Cc","K2","R","C",0.000277206373087343,0.0112798287937248,3.77789204856638,40.5022222451155,22.0413769421988,-251.108623057801
"30","K20Cd","K2","GP","C",0.059956744179306,25.2634337464376,1.37428670971263,306.724922149839,305.114432776405,31.9644327764049
"31","K20Cd","K2","R","C",0,0.0520746286627123,1.46178433915712,366.972742953263,0,-273.15
"32","M501a","M5","GP","T1",0.16056474435011,12.7773151886209,1.33894324073743,307.147300887314,305.013130193102,31.8631301931017
"33","M501a","M5","R","T1",1.40799544735647e-05,0.0156667429679259,1.59528701626649,330.422709169503,27.6862206024744,-245.463779397526
"34","M501b","M5","GP","T1",0.10776961774786,15.5938545416341,1.3531006270982,306.980799556383,304.924178549263,31.7741785492634
"35","M501b","M5","R","T1",0,0.0717647023915706,1.77126843307704,274.030330717404,0,-273.15
"36","M501c","M5","GP","T1",0.700097195947011,2.72606473153324,1.54479915259445,305.450635934001,304.394011888321,31.2440118883213
"37","M501c","M5","R","T1",0.017329259157751,8.41668047096116e-10,1.60328571249347,379.946664362006,-5.47308248960947e-07,-273.150000547308
"38","M501d","M5","GP","T1",0.315791018156087,4.56784386917612,1.39095195086838,307.465589883829,304.511937834902,31.3619378349022
"39","M501d","M5","R","T1",0,0.000775406994707732,1.6098829298318,261.822116251676,0,-273.15
"40","M502a","M5","GP","T2",1.58740387220087,2.55211318068478,2.02096016863036,300.434555786688,302.044216778541,28.8942167785407
