"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","genotype","run","temp.Cat","light_dark","treatment","surf.area.cm2","volume.mls","volume","umol.sec"
"1","Blk1_2701",162.773316148867,-0.0001284344193501,26.3472138225476,"Blk1","BLANK","2701",27,"light","BLANK",NA,620,0.62,-7.9629339997062e-05
"2","Blk1_2701D",162.538884005612,-0.000446847740420647,26.387263982732,"Blk1","BLANK","2701D",27,"dark","BLANK",NA,620,0.62,-0.000277045599060801
"3","Blk1_2702",165.467035023373,-7.29889239962098e-05,26.4020678466221,"Blk1","BLANK","2702",27,"light","BLANK",NA,620,0.62,-4.52531328776501e-05
"4","Blk1_2702D",165.218132565324,-0.000345449747149117,26.4026499359641,"Blk1","BLANK","2702D",27,"dark","BLANK",NA,620,0.62,-0.000214178843232453
"5","Blk1_2703",150.226146002237,-0.000464650085317417,26.399620958132,"Blk1","BLANK","2703",27,"light","BLANK",NA,620,0.62,-0.000288083052896799
"6","Blk1_2703D",149.750693454564,-0.000527145626703263,26.3615107739592,"Blk1","BLANK","2703D",27,"dark","BLANK",NA,620,0.62,-0.000326830288556023
"7","Blk1_2704",161.263360107552,-0.000497897566321875,26.3253003980528,"Blk1","BLANK","2704",27,"light","BLANK",NA,620,0.62,-0.000308696491119563
"8","Blk1_2704D",160.771279285246,-0.000618114660912795,26.3039249633298,"Blk1","BLANK","2704D",27,"dark","BLANK",NA,620,0.62,-0.000383231089765933
"9","Blk1_2705",156.23501140922,-0.000784819162662823,26.420826783074,"Blk1","BLANK","2705",27,"light","BLANK",NA,620,0.62,-0.00048658788085095
"10","Blk1_2705D",155.446485052094,-0.000569070837988728,26.3866896666147,"Blk1","BLANK","2705D",27,"dark","BLANK",NA,620,0.62,-0.000352823919553011
"11","Blk1_2706",146.513075491893,-0.000661379234096819,26.3525212834462,"Blk1","BLANK","2706",27,"light","BLANK",NA,620,0.62,-0.000410055125140028
"12","Blk1_2706D",145.859448758488,-0.000580975981139814,26.3229125065413,"Blk1","BLANK","2706D",27,"dark","BLANK",NA,620,0.62,-0.000360205108306685
"13","Blk1_2801",197.084118152504,-0.000388424624426542,27.1063212201089,"Blk1","BLANK","2801",28,"light","BLANK",NA,620,0.62,-0.000240823267144456
