"","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID","genotype"
"153","K203b","31","T3","30.5093145963465","0.889417073736012","NP","light","K203b","K2"
"155","K203b","32","T3","31.310016385235","0.801142963236717","NP","light","K203b","K2"
"157","K203b","33","T3","32.3656146213943","0.317478661328227","NP","light","K203b","K2"
"159","K203b","34","T3","33.042007669365","-0.120326799912856","NP","light","K203b","K2"
"161","K203c","27","T3","26.2791612362591","0.503687259261128","NP","light","K203c","K2"
"163","K203c","28","T3","27.2847170603684","0.492211557960109","NP","light","K203c","K2"
"165","K203c","29","T3","28.2374586862829","0.405916652203066","NP","light","K203c","K2"
"167","K203c","30","T3","29.4610892349417","0.615865111266285","NP","light","K203c","K2"
"169","K203c","31","T3","30.0650390784663","0.702103996523695","NP","light","K203c","K2"
"171","K203c","32","T3","31.2135639946031","0.386582169791723","NP","light","K203c","K2"
"173","K203c","33","T3","32.4991253622893","0.554299055349075","NP","light","K203c","K2"
"175","K203c","34","T3","33.1151515222404","0.0345066431474461","NP","light","K203c","K2"
"177","K203d","27","T3","26.4942901557542","0.469605179021421","NP","light","K203d","K2"
"179","K203d","28","T3","27.2895049835259","0.441524341990168","NP","light","K203d","K2"
"181","K203d","29","T3","28.3919486134022","0.775558642919861","NP","light","K203d","K2"
"183","K203d","30","T3","29.4161926728731","0.507489731456645","NP","light","K203d","K2"
"185","K203d","31","T3","30.1882262280699","0.613312348478425","NP","light","K203d","K2"
"187","K203d","32","T3","31.2957723843593","0.140629935718285","NP","light","K203d","K2"
"189","K203d","33","T3","32.3792426142394","0.509284009535754","NP","light","K203d","K2"
"191","K203d","34","T3","33.1130971014884","-0.010263858182364","NP","light","K203d","K2"
"193","K20Ca","27","C","26.3648198845486","0.52680776548614","NP","light","K20Ca","K2"
"195","K20Ca","28","C","27.3094562835855","0.47213212903367","NP","light","K20Ca","K2"
"197","K20Ca","29","C","28.4012552120083","0.788635595718775","NP","light","K20Ca","K2"
"199","K20Ca","30","C","29.2429627558284","0.555997366046455","NP","light","K20Ca","K2"
"201","K20Ca","31","C","30.0001401075809","0.746269352338193","NP","light","K20Ca","K2"
"203","K20Ca","32","C","31.2727561161041","0.317097805749785","NP","light","K20Ca","K2"
"205","K20Ca","33","C","32.5849156933062","0.546151244196366","NP","light","K20Ca","K2"
"207","K20Ca","34","C","33.1456815744957","0.0601958042116174","NP","light","K20Ca","K2"
"209","K20Cb","27","C","26.2117464405124","0.478908107745383","NP","light","K20Cb","K2"
"211","K20Cb","28","C","27.1347108732077","0.428283689457947","NP","light","K20Cb","K2"
"213","K20Cb","29","C","28.2759887262528","0.321501228089784","NP","light","K20Cb","K2"
"215","K20Cb","30","C","29.1734289230378","0.582223864166072","NP","light","K20Cb","K2"
"217","K20Cb","31","C","30.1738111628291","0.55654755949341","NP","light","K20Cb","K2"
"219","K20Cb","32","C","31.2807211625371","0.299681779795459","NP","light","K20Cb","K2"
"221","K20Cb","33","C","32.5322023047081","0.015784834025264","NP","light","K20Cb","K2"
"223","K20Cb","34","C","32.9501425759791","-0.127341334371219","NP","light","K20Cb","K2"
"225","K20Cc","27","C","26.4823924485873","0.541423676020638","NP","light","K20Cc","K2"
"227","K20Cc","28","C","27.1849034719141","0.578997297611885","NP","light","K20Cc","K2"
"229","K20Cc","29","C","28.4029926329965","0.681327566810734","NP","light","K20Cc","K2"
"231","K20Cc","30","C","29.4929250827518","0.145066108081836","NP","light","K20Cc","K2"
"233","K20Cc","31","C","30.4588589976229","0.823190951009052","NP","light","K20Cc","K2"
"235","K20Cc","32","C","31.3078512607467","0.697414397057425","NP","light","K20Cc","K2"
"237","K20Cc","33","C","32.4643040092438","0.425382232267123","NP","light","K20Cc","K2"
"239","K20Cc","34","C","33.0767782773921","0.0856515165434955","NP","light","K20Cc","K2"
"241","K20Cd","27","C","26.3354066065458","0.494823704323443","NP","light","K20Cd","K2"
"243","K20Cd","28","C","27.2953316421022","0.51207599161557","NP","light","K20Cd","K2"
"245","K20Cd","29","C","28.1552686716963","0.408620437203895","NP","light","K20Cd","K2"
"247","K20Cd","30","C","29.3677239083098","0.70850207870277","NP","light","K20Cd","K2"
"249","K20Cd","31","C","30.1224087455506","0.682690793925945","NP","light","K20Cd","K2"
"251","K20Cd","32","C","31.3267929753253","0.420608312332181","NP","light","K20Cd","K2"
"253","K20Cd","33","C","32.4921122757417","0.430123297379152","NP","light","K20Cd","K2"
"255","K20Cd","34","C","33.0942851208275","-0.0101231617398787","NP","light","K20Cd","K2"
"257","M501a","27","T1","26.3420711033104","0.311625063039033","NP","light","M501a","M5"
"259","M501a","28","T1","27.1461202263217","0.452974490396092","NP","light","M501a","M5"
"261","M501a","29","T1","28.3692864430338","0.637241791958913","NP","light","M501a","M5"
"263","M501a","30","T1","29.2674621568737","0.0724677245515436","NP","light","M501a","M5"
"265","M501a","31","T1","30.4744740278945","0.74702389022023","NP","light","M501a","M5"
"267","M501a","32","T1","31.3796443990308","0.64456263224587","NP","light","M501a","M5"
"269","M501a","33","T1","32.4160154882713","0.381477446164922","NP","light","M501a","M5"
"271","M501a","34","T1","33.2099369172549","-0.00820432215735493","NP","light","M501a","M5"
"273","M501b","27","T1","26.2757697636815","0.432881662737347","NP","light","M501b","M5"
