"","fragment.ID.full","temp.Cat","light_dark","run","blank.rate"
"859","Blk1_3005D",30,"dark","3005D",-0.00228739425762601
"860","Blk2_3005D",30,"dark","3005D",-0.00246461641641951
"861","Blk1_3006",30,"light","3006",-0.000816722348295753
"862","Blk2_3006",30,"light","3006",-0.00104647348420651
"863","Blk1_3006D",30,"dark","3006D",-0.000710611647421361
"864","Blk2_3006D",30,"dark","3006D",-0.000942674803500662
"865","Blk1_3101",31,"light","3101",-0.000663447323976082
"866","Blk2_3101",31,"light","3101",-0.000532020589908067
"867","Blk1_3101D",31,"dark","3101D",-0.000947586006106292
"868","Blk2_3101D",31,"dark","3101D",-0.00076306588322105
"869","Blk1_3102",31,"light","3102",-0.000941113601790329
"870","Blk2_3102",31,"light","3102",-0.00110590932031898
"871","Blk1_3102D",31,"dark","3102D",-0.00110420298356893
"872","Blk2_3102D",31,"dark","3102D",-0.000990654587265337
"873","Blk1_3103",31,"light","3103",-0.0010212784882531
"874","Blk2_3103",31,"light","3103",-0.00129428126340323
"875","Blk1_3103D",31,"dark","3103D",-0.000993758967447821
"876","Blk2_3103D",31,"dark","3103D",-0.00115433613765946
"877","Blk1_3104",31,"light","3104",-0.00123340185585625
"878","Blk2_3104",31,"light","3104",-0.00125984783587279
"879","Blk1_3104D",31,"dark","3104D",-0.00116539020742363
"880","Blk2_3104D",31,"dark","3104D",-0.00120039567770652
"881","Blk1_3105",31,"light","3105",-0.00148932257278141
"882","Blk2_3105",31,"light","3105",-0.00143843907970368
"883","Blk1_3105D",31,"dark","3105D",-0.00109503157669979
"884","Blk2_3105D",31,"dark","3105D",-0.00109326889881072
"885","Blk1_3106",31,"light","3106",-0.00175509142908394
"886","Blk2_3106",31,"light","3106",-0.00177104453036546
"887","Blk1_3106D",31,"dark","3106D",-0.00169173629814639
"888","Blk2_3106D",31,"dark","3106D",-0.0017173173050755
"889","Blk1_3201",32,"light","3201",-0.000742731025026287
"890","Blk2_3201",32,"light","3201",-0.00107666305162423
"891","Blk1_3201D",32,"dark","3201D",-0.000543754749766271
"892","Blk2_3201D",32,"dark","3201D",-0.000761956547819184
"893","Blk1_3202",32,"light","3202",-0.000629529162049462
"894","Blk2_3202",32,"light","3202",-0.000507596672731031
"895","Blk1_3202D",32,"dark","3202D",-0.000676136953135789
"896","Blk2_3202D",32,"dark","3202D",-0.000697938955513699
"897","Blk1_3203",32,"light","3203",-0.000815458405061601
"898","Blk2_3203",32,"light","3203",-0.000779762236317334
"899","Blk1_3203D",32,"dark","3203D",-0.000666657280656385
"900","Blk2_3203D",32,"dark","3203D",-0.000771569728459007
"901","Blk1_3204",32,"light","3204",-0.00174223207974949
"902","Blk2_3204",32,"light","3204",-0.00184743808224511
"903","Blk1_3204D",32,"dark","3204D",-0.000971927253002311
"904","Blk2_3204D",32,"dark","3204D",-0.00124380990090917
"905","Blk1_3205",32,"light","3205",-0.00221215997102705
"906","Blk1_3205D",32,"dark","3205D",-0.00191317222818563
"907","Blk1_3206",32,"light","3206",-0.00184938861458596
"908","Blk2_3206",32,"light","3206",-0.00182697821061604
"909","Blk1_3206D",32,"dark","3206D",-0.00163643464662954
"910","Blk2_3206D",32,"dark","3206D",-0.00165966886938466
"911","Blk1_3301",33,"light","3301",-0.00132892154248865
"912","Blk2_3301",33,"light","3301",-0.000992414203616547
"913","Blk1_3301D",33,"dark","3301D",-0.00107994503899407
"914","Blk2_3301D",33,"dark","3301D",-0.000818603631553087
"915","Blk1_3302",33,"light","3302",-0.0016635959424853
"916","Blk2_3302",33,"light","3302",-0.00146738601186533
"917","Blk1_3302D",33,"dark","3302D",-0.00125106239301766
"918","Blk2_3302D",33,"dark","3302D",-0.001002612796568
"919","Blk1_3303",33,"light","3303",-0.00148135095753511
"920","Blk2_3303",33,"light","3303",-0.00124457563881855
"921","Blk1_3303D",33,"dark","3303D",-0.00098716945594376
"922","Blk2_3303D",33,"dark","3303D",-0.00093404876619162
"923","Blk1_3304",33,"light","3304",-0.000997869674477349
"924","Blk2_3304",33,"light","3304",-0.000956676902344508
"925","Blk1_3304D",33,"dark","3304D",-0.000920838620917723
"926","Blk2_3304D",33,"dark","3304D",-0.000861611207675217
"927","Blk1_3305",33,"light","3305",-0.00137242723616325
"928","Blk2_3305",33,"light","3305",-0.00163284380399111
"929","Blk1_3305D",33,"dark","3305D",-0.0010936971812557
"930","Blk2_3305D",33,"dark","3305D",-0.00106235248650993
"931","Blk1_3306",33,"light","3306",-0.00148951434297395
"932","Blk2_3306",33,"light","3306",-0.000930241991051555
"933","Blk1_3306D",33,"dark","3306D",-0.000837909554148493
"934","Blk2_3306D",33,"dark","3306D",-0.000730246101896387
"935","Blk1_3401",34,"light","3401",-0.000404079585411591
"936","Blk2_3401",34,"light","3401",-0.000577856084817226
"937","Blk1_3401D",34,"dark","3401D",-0.00049749594435769
"938","Blk2_3401D",34,"dark","3401D",-0.000520329655146423
"939","Blk1_3402",34,"light","3402",-0.00160795481807662
"940","Blk2_3402",34,"light","3402",-0.00129783771111472
"941","Blk1_3402D",34,"dark","3402D",-0.000772576517426112
"942","Blk2_3402D",34,"dark","3402D",-0.000634035735678327
"943","Blk1_3403",34,"light","3403",-0.00212042318475971
"944","Blk2_3403",34,"light","3403",-0.00153756601983348
"945","Blk1_3403D",34,"dark","3403D",-0.00166642550280543
"946","Blk2_3403D",34,"dark","3403D",-0.00117547195814828
"947","Blk1_3404",34,"light","3404",-0.00183182309028001
"948","Blk2_3404",34,"light","3404",-0.00180031318876589
"949","Blk1_3404D",34,"dark","3404D",-0.00123966348433769
"950","Blk2_3404D",34,"dark","3404D",-0.00109416286162773
"951","Blk1_3405",34,"light","3405",-0.00164620911169007
"952","Blk2_3405",34,"light","3405",-0.00151642789138147
"953","Blk1_3405D",34,"dark","3405D",-0.00106837029654435
"954","Blk2_3405D",34,"dark","3405D",-0.00106059466956081
"955","Blk1_3406",34,"light","3406",-0.00160342315477117
"956","Blk2_3406",34,"light","3406",-0.00117601827826083
"957","Blk1_3406D",34,"dark","3406D",-0.00116527341167553
"958","Blk2_3406D",34,"dark","3406D",-0.00101812794335562
"959","Blk1_3407",34,"light","3407",-0.00158553305308762
"960","Blk1_3407D",34,"dark","3407D",-0.00111298859422319
