"","genotype","temp.Cat","treatment","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","Temp.mean","Temp.se"
"1","K2",27,"C",0.51049081325,4,0.0143353016927966,-0.4251223525,0.0193864186487543,0.93561316575,0.0332325130758272,26.348591345,0.0555776231266884
"2","K2",27,"T1",0.50805117575,4,0.0292418570075954,-0.41646154,0.0101536953859863,0.92451271575,0.0311661463004864,26.43978703,0.00856543846910111
"3","K2",27,"T2",0.51169272275,4,0.0276985561098833,-0.40889381225,0.0168361521754262,0.920586535,0.0311963952884426,26.42165906,0.0279573172833275
"4","K2",27,"T3",0.50606393525,4,0.0292220091913088,-0.382789003,0.0263347447816838,0.88885293825,0.053168105516033,26.3701743525,0.0563182310889894
"5","K2",28,"C",0.497872277,4,0.0320001840501834,-0.424187299,0.0327374839270193,0.922059576,0.0639289568559458,27.231100565,0.0425150894364275
"6","K2",28,"T1",0.55445422375,4,0.0418094389789277,-0.45347881725,0.0157013367672252,1.007933041,0.0396014606489766,27.26560033,0.0539658448765622
"7","K2",28,"T2",0.525065051,4,0.0346883537347622,-0.432567701,0.0261135336494321,0.957632752,0.058755970465449,27.2338758825,0.0661419301529859
"8","K2",28,"T3",0.52541125225,4,0.0500630875959903,-0.4387142625,0.0321382770376988,0.96412551475,0.0818429375866675,27.17280554,0.0861115465901908
"9","K2",29,"C",0.550021207,4,0.110451250699515,-0.46649606175,0.0411510804997631,1.01651726875,0.148041125738371,28.30887631,0.0592091229176844
"10","K2",29,"T1",0.69928501625,4,0.0915430349666581,-0.45414953425,0.0234872292419818,1.1534345505,0.112637349140619,28.41232297,0.0917983910411849
"11","K2",29,"T2",0.64660708875,4,0.069231887788626,-0.44579583275,0.0159702589550504,1.0924029215,0.0759647426136733,28.3888576275,0.0755123254370979
"12","K2",29,"T3",0.6260771085,4,0.0784514811325301,-0.43476243575,0.024616795425958,1.06083954425,0.0913444412666314,28.3937538675,0.08450037102238
"13","K2",30,"C",0.49794735425,4,0.122246608688243,-0.44123789225,0.0568776122092125,0.9391852465,0.117650282303157,29.3192601675,0.0704723842540265
"14","K2",30,"T1",0.44908460825,4,0.126703311962628,-0.459717443,0.0392483994127377,0.90880205125,0.116697939979376,29.4461459,0.0616196581513241
