,term,estimate,std.error,statistic,p.value,genotype,treatment,rate.type,temp.Cat
77,lnc,1.355558187,0.015459745,87.68308956,1.03E-35,M5T2,T2,GP,27
78,E,0.108505197,0.103643314,1.046909766,0.304094885,M5T2,T2,GP,27
79,Eh,7.452637689,3.739822167,1.992778629,0.056114405,M5T2,T2,GP,27
80,Th,307.6540111,0.476487312,645.6709412,5.68E-60,M5T2,T2,GP,27
81,lnc,1.374185848,0.014110202,97.38952322,5.48E-37,K2T2,T2,GP,27
82,E,0.08563134,0.052931857,1.617765645,0.116924837,K2T2,T2,GP,27
83,Eh,15.08550189,5.896926317,2.558197454,0.016219735,K2T2,T2,GP,27
84,Th,307.0637345,0.277020116,1108.452841,1.52E-66,K2T2,T2,GP,27
85,lnc,1.381762452,0.018285821,75.56469513,6.50E-34,M6T1,T1,GP,27
86,E,0.109858762,0.079014638,1.390359609,0.175373577,M6T1,T1,GP,27
87,Eh,11.43662146,4.933079628,2.318353305,0.02795312,M6T1,T1,GP,27
88,Th,307.1603651,0.325549688,943.5130071,1.39E-64,M6T1,T1,GP,27
89,lnc,1.367768091,0.014847415,92.1216329,2.59E-36,M5T1,T1,GP,27
90,E,0.149679252,0.094955894,1.576302912,0.126188655,M5T1,T1,GP,27
91,Eh,8.169352733,3.980641438,2.052270434,0.049598077,M5T1,T1,GP,27
92,Th,307.5003889,0.452615458,679.3855213,1.36E-60,M5T1,T1,GP,27
93,lnc,1.37953295,0.016658064,82.81472488,5.06E-35,K2T1,T1,GP,27
94,E,0.089980533,0.060621909,1.484290657,0.148903146,K2T1,T1,GP,27
95,Eh,14.91018314,8.229016766,1.811903361,0.080739961,K2T1,T1,GP,27
96,Th,307.2642356,0.457175552,672.0924476,1.85E-60,K2T1,T1,GP,27
