Genotype,coral ID,Treatment,Blastate vol (ml),Protein sub sample (ml),Protein A562 - rep 1,Protein A562 - rep 2,Protein A562 - rep 3,Protein A562 - rep 4,"Protein avg A562 1,3","Protein avg A562 2,4",Final Protein Avg,Protein ug/ml ,Protein 3D ug/cm2,zoox 1,zoox 2,zoox 3,zoox 4,total zoox,sqrs 1,sqrs 2,sqrs 3,sqr 4,total sqrs,zoox/ml,zoox/coral,zoox/cm2 3D,zoox/cm2log10,zoox/protein,Chl Subsample(ml),750a,663a,630a,750b,663b,630b,663a corrected,630a corrected,663b corrected,630b corrected,Avg 663,Avg 630,C value ug ml,Chl(ug)a,Chl (ug),Chl/zoox (pg),Chl/protein,Chl ng/cm2 3D,Chl ug/cm2,Chl ug/cm2 log10,SA cm2,Coral ID,bw_ini,bw_fi,growth,growth.rate
K2,K2RNi,i,45,1.5,0.939,0.939,na,na,0.939,0.939,0.939,42.255,1.431902882,111,112,109,142,474,5,3,4,5,17,278823.5294,12547058.82,425184.4677,5.628577391,296936.666,5,0.007,0.558,0.174,0.008,0.592,0.183,0.551,0.167,0.584,0.175,0.5675,0.171,6.377085,286.968825,286.968825,22.8714019,6.791357827,9724.564843,9.724564843,0.987870177,29.50968292,K2RNi,4,4,0,0
K2,K202a,2,35,1.5,1.268,1.218,na,na,1.268,1.218,1.243,43.505,1.169935943,126,102,116,108,452,6,3,6,4,19,237894.7368,8326315.789,223911.1852,5.350075789,191387.5598,5,0.012,0.644,0.212,0.011,0.64,0.209,0.632,0.2,0.629,0.198,0.6305,0.199,7.079255,247.773925,247.773925,29.75793031,5.695297667,6663.133446,6.663133446,0.823678511,37.1857966,K202a,8.923688348,9.217976721,0.032978334,3.297833378
K2,K20Ca,c,50,1.5,0.852,0.873,na,na,0.852,0.873,0.8625,43.125,0.972775563,140,105,125,114,484,2,2,4,6,14,345714.2857,17285714.29,389915.8364,5.590970874,400828.1573,5,0.016,0.256,0.106,0.015,0.256,0.104,0.24,0.09,0.241,0.089,0.2405,0.0895,2.691635,134.58175,134.58175,7.785721074,3.120736232,3035.775944,3.035775944,0.482269715,44.33191134,K20Ca,8.199412798,8.714660102,0.062839537,6.283953709
K2,K20Cb,c,27.5,1.5,0.662,0.676,na,na,0.662,0.676,0.669,18.3975,0.69375011,141,152,151,146,590,1,2,2,2,7,842857.1429,23178571.43,874039.2164,5.941530919,1259876.148,5,0.008,0.156,0.056,0.028,0.186,0.086,0.148,0.048,0.158,0.058,0.153,0.053,1.71487,47.158925,47.158925,2.034591525,2.563333333,1778.312783,1.778312783,0.25000815,26.5189147,K20Cb,5.076356585,5.256835773,0.035552898,3.555289805
K2,K203c,3,47.5,1.5,0.518,0.508,na,na,0.518,0.508,0.513,24.3675,0.750351648,126,109,103,143,481,6,6,5,4,21,229047.619,10879761.9,335021.9461,5.525073257,446486.5868,5,0.009,0.138,0.061,0.01,0.133,0.059,0.129,0.052,0.123,0.049,0.126,0.0505,1.40786,66.87335,66.87335,6.146582121,2.744366472,2059.239904,2.059239904,0.313706945,32.47477376,K203c,4.579743754,4.872171831,0.063852498,6.385249773
K2,K20Cc,c,37.5,1.5,1.025,0.939,na,na,1.025,0.939,0.982,36.825,0.885187915,189,177,161,184,711,1,1,2,1,5,1422000,53325000,1281809.791,6.107823585,1448065.173,5,0.012,0.487,0.181,0.015,0.492,0.188,0.475,0.169,0.477,0.173,0.476,0.171,5.33124,199.9215,199.9215,3.749113924,5.428961303,4805.650936,4.805650936,0.681752222,41.60133615,K20Cc,5.652537871,6.128298267,0.084167573,8.416757339
M5,M503a,3,37.5,1.5,0.766,0.766,na,na,0.766,0.766,0.766,28.725,1.102326249,103,106,109,120,438,6,7,6,8,27,162222.2222,6083333.333,233448.8429,5.368191726,211778.358,5,0.009,0.095,0.041,0.01,0.095,0.041,0.086,0.032,0.085,0.031,0.0855,0.0315,0.957105,35.8914375,35.8914375,5.899962329,1.249484334,1377.339379,1.377339379,0.139040964,26.05852853,M503a,4.965763693,5.088699858,0.024756749,2.475674877
M5,M50Cc,c,32.5,1.5,0.628,0.63,na,na,0.628,0.63,0.629,20.4425,0.721249622,109,108,145,122,484,3,3,3,2,11,440000,14300000,504530.7368,5.702887629,699523.0525,5,0.011,0.169,0.07,0.025,0.189,0.09,0.158,0.059,0.164,0.065,0.161,0.062,1.80055,58.517875,58.517875,4.092159091,2.862559618,2064.620041,2.064620041,0.314840139,28.34316912,M50Cc,4.217595765,4.37626296,0.037620295,3.762029461
M5,M502c,2,30,1.5,0.625,0.602,na,na,0.625,0.602,0.6135,18.405,0.660495863,104,102,115,117,438,7,5,6,6,24,182500,5475000,196480.0244,5.293318403,297473.5126,5,0.011,0.123,0.054,0.011,0.123,0.054,0.112,0.043,0.112,0.043,0.112,0.043,1.25264,37.5792,37.5792,6.863780822,2.041792991,1348.595823,1.348595823,0.12988181,27.86542814,M502c,5.179473146,5.235464577,0.010810256,1.081025591
M5,M50Cd,c,32.5,1.5,0.714,0.793,na,na,0.714,0.793,0.7535,24.48875,2.637357366,123,139,166,120,548,3,2,2,2,9,608888.8889,19788888.89,2131197.871,6.328623774,808080.8081,5,0.006,0.093,0.042,0.008,0.091,0.041,0.087,0.036,0.083,0.033,0.085,0.0345,0.94947,30.857775,30.857775,1.55934854,1.260079628,3323.280289,3.323280289,0.521566972,9.285336268,M50Cd,5.497872885,5.644091885,0.026595558,2.659555842
