Genotype,coral ID,Treatment,Protein ug/ml ,Protein 3D ug/cm2,zoox/coral,zoox/cm2 3D,zoox/cm2log10,zoox/protein,C value ug ml,Chl (ug),Chl/zoox (pg),Chl/protein,Chl ng/cm2 3D,Chl ug/cm2,Chl ug/cm2 log10,SA cm2,growth.rate
M5,M50Cb,c,30.375,0.884530443,15403846.15,448565.296,5.651825671,507122.5071,2.012325,90.554625,5.878702247,2.981222222,2636.981813,2.636981813,0.421107135,34.3402539,3.580651822
M5,M502d,2,33.26375,0.998714111,7978750,239554.7771,5.379404836,239863.2145,3.085925,100.2925625,12.56995927,3.015070835,3011.19379,3.01119379,0.478738706,33.30657855,3.315665069
M5,M5RNi,i,46.74375,1.437073951,10720588.24,329590.1184,5.517974182,229348.0569,19.959295,748.4735625,69.81646399,16.01227036,23010.81663,23.01081663,1.361932032,32.52703172,0
M5,M50Ca,c,27.99125,0.756604898,16163636.36,436903.9052,5.640385927,577453.1814,2.05201,71.82035,4.44332874,2.565814317,1941.307679,1.941307679,0.288094372,36.99586149,3.157236667
M5,M501d,1,23.1175,0.77151401,9197222.222,306944.3406,5.48705963,397846.7491,2.690675,94.173625,10.23935518,4.073694171,3142.912124,3.142912124,0.497332238,29.96381104,4.505473041
M5,M501b,1,21.1125,0.797530731,12455357.14,470504.6813,5.672563949,589951.7889,0.729145,27.3429375,2.195275269,1.295106572,1032.887291,1.032887291,0.014052934,26.47233415,3.255406455
M5,M502b,2,27.7725,0.948522511,12050000,411547.2594,5.614419714,433882.4377,2.98246,104.3861,8.662746888,3.758613737,3565.12974,3.56512974,0.552075339,29.27974789,2.024139243
M5,M503b,3,34.925,1.194124836,9223076.923,315347.322,5.498789147,264082.3743,2.619625,72.0396875,7.810808486,2.06269685,2463.117539,2.463117539,0.391485137,29.24736086,3.356527618
M6,M601b,1,27.52625,1.679602746,16964285.71,1035130.498,6.014995104,616294.8354,0.73422,34.87545,2.055816,1.266988783,2128.03784,2.12803784,0.327979346,16.38854787,3.113528164
M6,M601d,1,21.7525,1.143441894,21388888.89,1124328.312,6.050893147,983284.1691,0.898995,31.464825,1.471082727,1.446492357,1653.97996,1.65397996,0.218530243,19.02370389,5.056500211
M6,M601a,1,26.275,1.395769866,14781250,785203.552,5.894982256,562559.4672,0.70409,35.2045,2.381699789,1.339847764,1870.119134,1.870119134,0.271869274,18.82473654,3.79329866
M6,M60Cc,c,21.15,0.758541381,10522058.82,377371.9638,5.576769632,497496.8711,0.91582,34.34325,3.263928721,1.623794326,1231.715191,1.231715191,0.090510298,27.88246036,4.361469216
M6,M60Cd,c,16.70375,0.906866748,8893333.333,482829.8004,5.683794067,532415.3758,0.46982,27.01465,3.03762931,1.617280551,1466.657954,1.466657954,0.166328842,18.41918897,3.775748583
M6,M602b,2,18.84,0.832206943,4096875,180968.5679,5.25760315,217456.2102,1.22882,36.8646,8.998224256,1.956719745,1628.395757,1.628395757,0.211759962,22.63859988,3.390542591
M6,M603c,3,22.14875,0.902528009,12268750,499932.9763,5.698911784,553925.1651,1.01988,33.1461,2.701668874,1.496522377,1350.653361,1.350653361,0.130543904,24.54078963,4.727825654
M6,M60Ca,c,18.255,0.762325359,7815789.474,326385.8953,5.513731382,428145.1369,1.22914,36.8742,4.717911111,2.019950698,1539.859642,1.539859642,0.187481137,23.94646824,3.367175014
M6,M602c,2,20.175,0.927210165,2354166.667,108193.6685,5.034201847,116687.3193,0.655855,16.396375,6.964831858,0.812707559,753.5507094,0.753550709,-0.122887517,21.758821,4.783363011
M6,M602d,2,41.92,1.168521941,5729032.258,159697.0395,5.203296865,136665.8459,2.32336,92.9344,16.22165766,2.216946565,2590.550704,2.590550704,0.413392097,35.87437986,5.768046066
M6,M603a,3,28.275,1.323754596,11350000,531374.5238,5.725400729,401414.6773,1.52088,38.022,3.349955947,1.344721485,1780.081246,1.780081246,0.250439825,21.35969922,4.04314703
M6,M60Cb,c,14.83875,0.763012908,13850000,712171.0911,5.852584341,933367.0289,0.798365,17.9632125,1.296982852,1.210561031,923.6736928,0.923673693,-0.034481425,19.44757401,4.036510935
M6,M603b,3,15.65625,0.739444456,1770833.333,83636.43211,4.922395498,113107.1191,0.731385,27.4269375,15.48815294,1.751820359,1295.373852,1.295373852,0.112395126,21.17298991,3.406441949
M6,M601c,1,21.11,1.252097588,27000000,1601451.203,6.20451371,1279014.685,1.192335,23.8467,0.883211111,1.129639981,1414.419496,1.414419496,0.150578234,16.85970822,5.592700017
M6,M603d,3,23.07,0.974443583,32914285.71,1390252.038,6.14309354,1426713.728,2.26717,68.0151,2.06643099,2.948205462,2872.859895,2.872859895,0.458314447,23.67504942,5.659612422
M6,M602a,2,21.33,0.912292354,18600000,795529.1972,5.900656124,872011.2518,0.51554,23.1993,1.247274194,1.087637131,992.2430379,0.992243038,-0.00338194,23.38066292,3.529815986
M6,M6RNi,i,34.66875,1.763737424,10411764.71,529687.9485,5.724020092,300321.3184,13.66743,512.528625,49.22591314,14.78359113,26074.37294,26.07437294,1.416213873,19.6564123,0
M7,M703a,i,40.7225,1.399786245,11806666.67,405839.7594,5.608354592,289929.8095,18.779945,657.298075,55.67177372,16.14090675,22593.81925,22.59381925,1.35398965,29.09194182,0
